seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
5002507,3182500,5,WV,1364.974,38.185953,-80.130623,GREENBRIER RIVER AT BUCKEYE WV
5002667,3144000,5,OH,363.4146,40.132568,-82.14792,Wakatomika Creek near Frazeysburg OH
5002711,3140000,5,OH,70.3458,40.362846,-81.862356,Mill Creek near Coshocton OH
5003062,3366500,5,IN,755.2151,38.804223,-85.673855,MUSCATATUCK RIVER NEAR DEPUTY IN
5003071,3364500,5,IN,237.0879,39.274773,-85.701647,CLIFTY CREEK AT HARTSVILLE IN
6000124,3465500,6,TN,2081.6,36.176496,-82.457364,NOLICHUCKY RIVER AT EMBREEVILLE TN
6000150,3604000,6,TN,1163.026,35.495906,-87.832804,"BUFFALO RIVER NEAR FLAT WOODS, TN"
6000461,3574500,6,AL,813.8025,34.624255,-86.306374,PAINT ROCK RIVER NEAR WOODVILLE AL
6000837,3500000,6,NC,361.1439,35.15,-83.379722,LITTLE TENNESSEE RIVER NEAR PRENTISS NC
6000838,3504000,6,NC,134.5167,35.1275,-83.618611,NANTAHALA RIVER NEAR RAINBOW SPRINGS NC
6000854,3479000,6,NC,235.6011,36.239167,-81.822222,WATAUGA RIVER NEAR SUGAR GROVE NC
6000885,3471500,6,VA,198.1611,36.760393,-81.631229,S F HOLSTON RIVER AT RIVERSIDE NR CHILHOWIE VA
6000887,3473000,6,VA,784.8126,36.651781,-81.84401,S F HOLSTON RIVER NEAR DAMASCUS VA
6000914,3488000,6,VA,578.206,36.896781,-81.746229,N F HOLSTON RIVER NEAR SALTVILLE VA
6000949,3498500,6,TN,696.7582,35.785621,-83.884604,LITTLE RIVER NEAR MARYVILLE TN
6001108,3441000,6,NC,104.292,35.273056,-82.705833,DAVIDSON RIVER NEAR BREVARD NC
6001117,3439000,6,NC,178.6674,35.143333,-82.824722,FRENCH BROAD RIVER AT ROSMAN NC
7000553,5501000,7,MO,922.8276,39.817992,-91.5177,North River at Palmyra MO
7000815,5291000,7,SD,1046.776,45.291632,-96.487557,WHETSTONE RIVER NEAR BIG STONE CITY SD
7000816,5293000,7,MN,1185.08,45.226909,-96.353665,YELLOW BANK RIVER NEAR ODESSA MN
7001247,5500000,7,MO,1567.004,39.896628,-91.580156,South Fabius River near Taylor MO
7001251,5489000,7,IA,964.7559,41.219002,-92.908533,Cedar Creek near Bussey IA
7001413,7014500,7,MO,3845.5,38.158531,-91.108458,Meramec River near Sullivan MO
