seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
1000568,1073000,1,NH,31,43.148696,-70.96506,OYSTER RIVER NEAR DURHAM NH
6000838,3504000,6,NC,135,35.1275,-83.618611,NANTAHALA RIVER NEAR RAINBOW SPRINGS NC
7002707,5393500,7,WI,220,45.449132,-89.979311,SPIRIT RIVER AT SPIRIT FALLS WI
8001736,7376500,8,LA,205,30.504358,-90.545924,Natalbany River at Baptist LA
9000244,5087500,9,MN,601,48.341089,-96.818117,MIDDLE RIVER AT ARGYLE MN
12003544,8196000,12,TX,327,29.504676,-99.781445,Dry Frio Rv nr Reagan Wells TX
18002766,10258500,18,CA,242,33.745022,-116.535571,PALM CYN C NR PALM SPRINGS CA
1000703,1188000,1,CT,11,41.786209,-72.964826,BURLINGTON BROOK NEAR BURLINGTON CT
2000360,1466500,2,NJ,5,39.885,-74.505278,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ
3001636,2051000,3,VA,145,36.997374,-78.349718,NORTH MEHERRIN RIVER NEAR LUNENBURG VA
4002106,4233000,4,NY,92,42.393129,-76.544943,CAYUGA INLET NEAR ITHACA NY
5001383,3026500,5,PA,20,41.631173,-78.57669,Sevenmile Run near Rasselas PA
6001108,3441000,6,NC,104,35.273056,-82.705833,DAVIDSON RIVER NEAR BREVARD NC
7002063,5454000,7,IA,65,41.700017,-91.487668,Rapid Creek near Iowa City IA
8001612,7373000,8,LA,131,31.536287,-92.408471,Big Creek at Pollock LA
9000464,5130500,9,MN,464,47.673538,-92.900182,STURGEON RIVER NEAR CHISHOLM MN
11000682,7083000,11,CO,61,39.172213,-106.389193,HALFMOON CREEK NEAR MALTA CO
12003595,8200000,12,TX,249,29.569673,-99.246706,Hondo Ck nr Tarpley TX
13000542,8267500,13,NM,96,36.541693,-105.556398,RIO HONDO NEAR VALDEZ NM
14000671,9223000,14,WY,333,42.110494,-110.709621,"HAMS FORK BELOW POLE CREEK, NEAR FRONTIER WY"
15000315,9480000,15,AZ,213,31.355378,-110.589526,SANTA CRUZ RIVER NEAR LOCHIEL AZ
16000429,10343500,16,CA,28,39.431572,-120.237979,SAGEHEN C NR TRUCKEE CA
17005612,12115500,17,WA,35,47.350662,-121.663158,REX RIVER NEAR CEDAR FALLS WA
18001897,11120500,18,CA,14,34.459163,-119.809028,SAN JOSE C NR GOLETA CA
10002854,6601000,10L,NE,450,42.321581,-96.487683,OMAHA CR AT HOMER NE
