Number,segid,Name,State,Latitude,Longitude
41,10003293,Platte River (North Fork) at Lake McConaughy (NE),NE,41.21,-101.64
42,18001488,American River at Fair Oaks (CA),CA,38.64,-121.23
43,18001783,Tulare-Buena Vista Lakes basin (CA),CA,36.05,-119.72
